date,nb_confirmes,nb_deces,nb_premiere_injection_vaccin,nb_deuxieme_injection_vaccin
2020/03/17,0,0,0,0
2020/03/18,2,0,0,0
2020/03/19,2,0,0,0
2020/03/20,2,0,0,0
2020/03/21,4,0,0,0
2020/03/22,5,0,0,0
2020/03/23,8,0,0,0
2020/03/24,10,0,0,0
2020/03/25,14,0,0,0
2020/03/26,14,0,0,0
2020/03/27,15,0,0,0
2020/03/28,15,0,0,0
2020/03/29,15,0,0,0
2020/03/30,15,0,0,0
2020/03/31,16,0,0,0
2020/04/01,16,0,0,0
2020/04/02,18,0,0,0
2020/04/03,18,0,0,0
2020/04/04,18,0,0,0
2020/04/05,18,0,0,0
2020/04/06,18,0,0,0
2020/04/07,18,0,0,0
2020/04/08,18,0,0,0
2020/04/09,18,0,0,0
2020/04/10,18,0,0,0
2020/04/11,18,0,0,0
2020/04/12,18,0,0,0
2020/04/13,18,0,0,0
2020/04/14,18,0,0,0
2020/04/15,18,0,0,0
2020/04/16,18,0,0,0
2020/04/17,18,0,0,0
2020/04/18,18,0,0,0
2020/04/19,18,0,0,0
2020/04/20,18,0,0,0
2020/04/21,18,0,0,0
2020/04/22,18,0,0,0
2020/04/23,18,0,0,0
2020/04/24,18,0,0,0
2020/04/25,18,0,0,0
2020/04/26,18,0,0,0
2020/04/27,18,0,0,0
2020/04/28,18,0,0,0
2020/04/29,18,0,0,0
2020/04/30,18,0,0,0
2020/05/01,18,0,0,0
2020/05/02,18,0,0,0
2020/05/03,18,0,0,0
2020/05/04,18,0,0,0
2020/05/05,18,0,0,0
2020/05/06,18,0,0,0
2020/05/07,18,0,0,0
2020/05/08,18,0,0,0
2020/05/09,18,0,0,0
2020/05/10,18,0,0,0
2020/05/11,18,0,0,0
2020/05/12,18,0,0,0
2020/05/13,18,0,0,0
2020/05/14,18,0,0,0
2020/05/15,18,0,0,0
2020/05/16,18,0,0,0
2020/05/17,18,0,0,0
2020/05/18,18,0,0,0
2020/05/19,18,0,0,0
2020/05/20,18,0,0,0
2020/05/21,18,0,0,0
2020/05/22,18,0,0,0
2020/05/23,18,0,0,0
2020/05/24,18,0,0,0
2020/05/25,18,0,0,0
2020/05/26,18,0,0,0
2020/05/27,18,0,0,0
2020/05/28,18,0,0,0
2020/05/29,18,0,0,0
2020/05/30,18,0,0,0
2020/05/31,19,0,0,0
2020/06/01,19,0,0,0
2020/06/02,20,0,0,0
2020/06/03,20,0,0,0
2020/06/04,20,0,0,0
2020/06/05,20,0,0,0
2020/06/06,20,0,0,0
2020/06/07,20,0,0,0
2020/06/08,20,0,0,0
2020/06/09,21,0,0,0
2020/06/10,21,0,0,0
2020/06/11,21,0,0,0
2020/06/12,21,0,0,0
2020/06/13,21,0,0,0
2020/06/14,21,0,0,0
2020/06/15,21,0,0,0
2020/06/16,21,0,0,0
2020/06/17,21,0,0,0
2020/06/18,21,0,0,0
2020/06/19,21,0,0,0
2020/06/20,21,0,0,0
2020/06/21,21,0,0,0
2020/06/22,21,0,0,0
2020/06/23,21,0,0,0
2020/06/24,21,0,0,0
2020/06/25,21,0,0,0
2020/06/26,21,0,0,0
2020/06/27,21,0,0,0
2020/06/28,21,0,0,0
2020/06/29,21,0,0,0
2020/06/30,21,0,0,0
2020/07/01,21,0,0,0
2020/07/02,21,0,0,0
2020/07/03,21,0,0,0
2020/07/04,21,0,0,0
2020/07/05,21,0,0,0
2020/07/06,21,0,0,0
2020/07/07,21,0,0,0
2020/07/08,21,0,0,0
2020/07/09,21,0,0,0
2020/07/10,21,0,0,0
2020/07/11,21,0,0,0
2020/07/12,21,0,0,0
2020/07/13,21,0,0,0
2020/07/14,22,0,0,0
2020/07/15,22,0,0,0
2020/07/16,22,0,0,0
2020/07/17,22,0,0,0
2020/07/18,22,0,0,0
2020/07/19,22,0,0,0
2020/07/20,22,0,0,0
2020/07/21,22,0,0,0
2020/07/22,22,0,0,0
2020/07/23,22,0,0,0
2020/07/24,22,0,0,0
2020/07/25,22,0,0,0
2020/07/26,22,0,0,0
2020/07/27,22,0,0,0
2020/07/28,22,0,0,0
2020/07/29,22,0,0,0
2020/07/30,22,0,0,0
2020/07/31,22,0,0,0
2020/08/01,22,0,0,0
2020/08/02,22,0,0,0
2020/08/03,22,0,0,0
2020/08/04,22,0,0,0
2020/08/05,22,0,0,0
2020/08/06,22,0,0,0
2020/08/07,23,0,0,0
2020/08/08,23,0,0,0
2020/08/09,23,0,0,0
2020/08/10,23,0,0,0
2020/08/11,23,0,0,0
2020/08/12,23,0,0,0
2020/08/13,23,0,0,0
2020/08/14,23,0,0,0
2020/08/15,23,0,0,0
2020/08/16,23,0,0,0
2020/08/17,23,0,0,0
2020/08/18,23,0,0,0
2020/08/19,23,0,0,0
2020/08/20,23,0,0,0
2020/08/21,23,0,0,0
2020/08/22,23,0,0,0
2020/08/23,23,0,0,0
2020/08/24,23,0,0,0
2020/08/25,23,0,0,0
2020/08/26,23,0,0,0
2020/08/27,23,0,0,0
2020/08/28,23,0,0,0
2020/08/29,23,0,0,0
2020/08/30,23,0,0,0
2020/08/31,23,0,0,0
2020/09/01,23,0,0,0
2020/09/02,23,0,0,0
2020/09/03,26,0,0,0
2020/09/04,26,0,0,0
2020/09/05,26,0,0,0
2020/09/06,26,0,0,0
2020/09/07,26,0,0,0
2020/09/08,26,0,0,0
2020/09/09,26,0,0,0
2020/09/10,26,0,0,0
2020/09/11,26,0,0,0
2020/09/12,26,0,0,0
2020/09/13,26,0,0,0
2020/09/14,26,0,0,0
2020/09/15,26,0,0,0
2020/09/16,26,0,0,0
2020/09/17,26,0,0,0
2020/09/18,26,0,0,0
2020/09/19,26,0,0,0
2020/09/20,26,0,0,0
2020/09/21,26,0,0,0
2020/09/22,26,0,0,0
2020/09/23,26,0,0,0
2020/09/24,26,0,0,0
2020/09/25,27,0,0,0
2020/09/26,27,0,0,0
2020/09/27,27,0,0,0
2020/09/28,27,0,0,0
2020/09/29,27,0,0,0
2020/09/30,27,0,0,0
2020/10/01,27,0,0,0
2020/10/02,27,0,0,0
2020/10/03,27,0,0,0
2020/10/04,27,0,0,0
2020/10/05,27,0,0,0
2020/10/06,27,0,0,0
2020/10/07,27,0,0,0
2020/10/08,27,0,0,0
2020/10/09,27,0,0,0
2020/10/10,27,0,0,0
2020/10/11,27,0,0,0
2020/10/12,27,0,0,0
2020/10/13,27,0,0,0
2020/10/14,27,0,0,0
2020/10/15,27,0,0,0
2020/10/16,27,0,0,0
2020/10/17,27,0,0,0
2020/10/18,27,0,0,0
2020/10/19,27,0,0,0
2020/10/20,27,0,0,0
2020/10/21,27,0,0,0
2020/10/22,27,0,0,0
2020/10/23,27,0,0,0
2020/10/24,27,0,0,0
2020/10/25,27,0,0,0
2020/10/26,27,0,0,0
2020/10/27,27,0,0,0
2020/10/28,27,0,0,0
2020/10/29,27,0,0,0
2020/10/30,28,0,0,0
2020/10/31,28,0,0,0
2020/11/01,28,0,0,0
2020/11/02,28,0,0,0
2020/11/03,28,0,0,0
2020/11/04,28,0,0,0
2020/11/05,29,0,0,0
2020/11/06,29,0,0,0
2020/11/07,29,0,0,0
2020/11/08,29,0,0,0
2020/11/09,29,0,0,0
2020/11/10,29,0,0,0
2020/11/11,29,0,0,0
2020/11/12,30,0,0,0
2020/11/13,30,0,0,0
2020/11/14,30,0,0,0
2020/11/15,30,0,0,0
2020/11/16,30,0,0,0
2020/11/17,30,0,0,0
2020/11/18,30,0,0,0
2020/11/19,30,0,0,0
2020/11/20,32,0,0,0
2020/11/21,32,0,0,0
2020/11/22,32,0,0,0
2020/11/23,32,0,0,0
2020/11/24,32,0,0,0
2020/11/25,32,0,0,0
2020/11/26,32,0,0,0
2020/11/27,32,0,0,0
2020/11/28,32,0,0,0
2020/11/29,32,0,0,0
2020/11/30,33,0,0,0
2020/12/01,33,0,0,0
2020/12/02,33,0,0,0
2020/12/03,34,0,0,0
2020/12/04,35,0,0,0
2020/12/05,35,0,0,0
2020/12/06,35,0,0,0
2020/12/07,35,0,0,0
2020/12/08,36,0,0,0
2020/12/09,36,0,0,0
2020/12/10,36,0,0,0
2020/12/11,36,0,0,0
2020/12/12,36,0,0,0
2020/12/13,36,0,0,0
2020/12/14,36,0,0,0
2020/12/15,36,0,0,0
2020/12/16,37,0,0,0
2020/12/17,37,0,0,0
2020/12/18,37,0,0,0
2020/12/19,37,0,0,0
2020/12/20,37,0,0,0
2020/12/21,37,0,0,0
2020/12/22,38,0,0,0
2020/12/23,38,0,0,0
2020/12/24,38,0,0,0
2020/12/25,38,0,0,0
2020/12/26,38,0,0,0
2020/12/27,38,0,0,0
2020/12/28,38,0,0,0
2020/12/29,38,0,0,0
2020/12/30,38,0,0,0
2020/12/31,38,0,0,0
2021/01/01,38,0,0,0
2021/01/02,40,0,0,0
2021/01/03,40,0,0,0
2021/01/04,40,0,0,0
2021/01/05,40,0,0,0
2021/01/06,40,0,0,0
2021/01/07,40,0,0,0
2021/01/08,40,0,0,0
2021/01/09,40,0,0,0
2021/01/10,40,0,0,0
2021/01/11,40,0,0,0
2021/01/12,40,0,0,0
2021/01/13,40,0,0,0
2021/01/14,40,0,0,0
2021/01/15,41,0,0,0
2021/01/16,44,0,0,0
2021/01/17,44,0,0,0
2021/01/18,44,0,0,0
2021/01/19,44,0,0,0
2021/01/20,44,0,0,0
2021/01/21,44,0,0,0
2021/01/22,44,0,0,0
2021/01/23,44,0,0,0
2021/01/24,44,0,0,0
2021/01/25,44,0,0,0
2021/01/26,44,0,0,0
2021/01/27,44,0,0,0
2021/01/28,44,0,0,0
2021/01/29,47,0,0,0
2021/01/30,47,0,0,0
2021/01/31,47,0,0,0
2021/02/01,47,0,1118,0
2021/02/02,47,0,1118,0
2021/02/03,47,0,1118,0
2021/02/04,47,0,1118,0
2021/02/05,49,0,1118,0
2021/02/06,49,0,1118,0
2021/02/07,49,0,1118,0
2021/02/08,50,0,1672,0
2021/02/09,50,0,1672,0
2021/02/10,50,0,1672,0
2021/02/11,50,0,1672,0
2021/02/12,52,0,1672,0
2021/02/13,52,0,1672,0
2021/02/14,52,0,1672,0
2021/02/15,52,0,2454,272
2021/02/16,52,0,2454,272
2021/02/17,52,0,2454,272
2021/02/18,55,0,2454,272
2021/02/19,55,0,2454,272
2021/02/20,55,0,2454,272
2021/02/21,55,0,2454,272
2021/02/22,55,0,3432,1025
2021/02/23,55,0,3432,1025
2021/02/24,55,0,3432,1025
2021/02/25,57,0,3432,1025
2021/02/26,58,0,3432,1025
2021/02/27,58,0,3432,2025
2021/02/28,58,0,3432,2025
2021/03/01,58,0,5210,1603
2021/03/02,58,0,5210,1603
2021/03/03,58,0,5210,1603
2021/03/04,58,0,5210,1603
2021/03/05,58,0,5210,1603
2021/03/06,58,0,5210,1603
2021/03/07,67,0,5210,1603
2021/03/08,67,0,7987,2627
2021/03/09,70,0,7987,2627
2021/03/10,74,0,9288,2944
2021/03/11,81,0,10130,3171
2021/03/12,88,0,11104,3355
2021/03/13,91,0,11104,3355
2021/03/14,93,0,11104,3355
2021/03/15,93,0,12133,3634
2021/03/16,95,0,13411,3968
2021/03/17,96,0,14756,4403
2021/03/18,106,0,14756,4403
2021/03/19,115,0,17528,5142
2021/03/20,116,0,17528,5142
2021/03/21,116,0,17564,5143
2021/03/22,116,0,18051,5545
2021/03/23,116,0,18572,5860
2021/03/24,120,0,18572,5860
2021/03/25,121,0,19940,6736
2021/03/26,121,0,19940,6736
2021/03/27,121,0,19940,6736
2021/03/28,121,0,20377,7090
2021/03/29,121,0,21192,7721
2021/03/30,121,0,21192,7721
2021/04/01,121,0,23754,10009
2021/04/02,121,0,23754,10009
2021/04/03,121,0,23754,10009
2021/04/04,121,0,23754,10009
2021/04/05,121,0,24193,11014
2021/04/06,121,0,24193,11014
2021/04/07,121,0,25113,14161
2021/04/08,121,0,25485,15787
2021/04/09,121,0,25696,16883
2021/04/10,121,0,25696,16883
2021/04/11,121,0,25696,16883
2021/04/12,121,0,26584,17626
2021/04/13,121,0,26584,17626
2021/04/14,121,0,30343,19591
2021/04/15,121,0,30343,19591
2021/04/16,123,0,31344,20038
2021/04/17,123,0,31344,20038
2021/04/18,124,0,31344,20038
2021/04/19,124,0,32071,20810
2021/04/20,124,0,33111,21835
2021/04/21,124,0,34047,22559
2021/04/22,124,0,34978,23339
2021/04/23,124,0,35971,23621
2021/04/24,124,0,35971,23621
2021/04/25,124,0,35971,23621
2021/04/26,124,0,37070,23846
2021/04/27,124,0,38229,24310
2021/04/28,124,0,39051,24670
2021/04/29,124,0,40092,25040
2021/04/30,124,0,40092,25040
2021/05/01,124,0,40092,25040
2021/05/02,124,0,40092,25040
2021/05/03,124,0,41364,26391
2021/05/04,124,0,42004,27833
2021/05/05,124,0,42479,28871
2021/05/06,124,0,42975,29939
2021/05/07,124,0,43284,30738
2021/05/08,124,0,43284,30738
2021/05/09,124,0,43284,30738
2021/05/10,124,0,43941,31639
2021/05/11,124,0,44538,32815
2021/05/12,124,0,44896,33901
2021/05/13,124,0,44896,33901
2021/05/14,124,0,44896,33901
2021/05/15,124,0,44896,33901
2021/05/16,124,0,44896,33901
2021/05/17,124,0,45104,35630
2021/05/18,125,0,45430,37178
2021/05/19,125,0,45831,38303
2021/05/20,125,0,46316,39418
2021/05/21,125,0,46508,40131
2021/05/22,125,0,46508,40131
2021/05/23,125,0,46508,40131
2021/05/24,126,0,46508,40131
2021/05/25,126,0,47179,41281
2021/05/26,126,0,48010,41885
2021/05/27,127,0,48922,42390
2021/05/28,128,0,49881,42713
2021/05/29,128,0,49881,42713
2021/05/30,128,0,49881,42713
2021/05/31,128,0,50603,43444
2021/06/01,128,0,51284,44028
2021/06/02,128,0,51910,44340
2021/06/03,128,0,52357,44360
2021/06/04,128,0,52745,44420
2021/06/05,128,0,52745,44420
2021/06/06,128,0,52745,44420
2021/06/07,128,0,52745,44420
2021/06/08,128,0,53838,44909
2021/06/09,128,0,54658,45178
2021/06/10,128,0,55011,45693
2021/06/11,128,0,55011,45693
2021/06/12,128,0,55011,45693
2021/06/13,128,0,55011,45693
2021/06/14,128,0,55793,45949
2021/06/15,128,0,56177,46465
2021/06/16,128,0,56480,47122
2021/06/17,128,0,56691,47992
2021/06/18,128,0,56691,47992
2021/06/19,129,0,56691,47992
2021/06/20,129,0,56691,47992
2021/06/21,129,0,57414,49578
2021/06/22,129,0,57715,50131
2021/06/23,129,0,58049,50877
2021/06/24,129,0,58211,51510
2021/06/26,129,0,59316,51943
2021/06/27,129,0,59316,51943
2021/06/28,129,0,59614,52528
2021/06/29,129,0,59943,53082
2021/06/30,129,0,60420,53904
2021/07/01,129,0,60420,53904
2021/07/02,129,0,60420,53904
2021/07/03,129,0,60420,53904
2021/07/04,129,0,60420,53904
2021/07/05,129,0,61019,54964
2021/07/06,129,0,61321,55299
2021/07/07,129,0,62006,55684
2021/07/08,129,0,62006,55684
2021/07/09,129,0,62762,56268
2021/07/10,129,0,62762,56268
2021/07/11,129,0,62006,55684
2021/07/12,129,0,63262,56525
2021/07/13,129,0,63649,56908
2021/07/14,129,0,63649,56908
2021/07/15,129,0,63960,57216
2021/07/16,129,0,63960,57216
2021/07/17,129,0,63960,57216
2021/07/18,129,0,63960,57216
2021/07/19,129,0,65306,58682
2021/07/20,131,0,65682,59042
2021/07/21,131,0,66159,59583
2021/07/22,131,0,66159,59583
2021/07/23,131,0,66620,59926
2021/07/24,131,0,66620,59926
2021/07/25,131,0,66620,59926
2021/07/26,133,0,66620,59926
2021/07/27,133,0,67314,60478
2021/07/28,133,0,67769,60827
2021/07/29,133,0,68052,61076
2021/07/30,134,0,68509,61569
2021/07/31,134,0,68509,61569
2021/08/01,134,0,68509,61569
2021/08/02,134,0,68942,62006
2021/08/03,134,0,69367,62343
2021/08/04,134,0,69821,62439
2021/08/05,134,0,70048,62775
2021/08/06,134,0,70773,63031
2021/08/07,134,0,70773,63031
2021/08/08,134,0,71135,63681
2021/08/09,134,0,71135,63681
2021/08/10,134,0,71757,64239
2021/08/11,134,0,72413,65011
2021/08/12,134,0,73212,65267
2021/08/13,134,0,73556,65466
2021/08/14,134,0,73556,65466
2021/08/15,134,0,73556,65466
