date,nb_confirmes,nb_quarantaines,nb_remissions,nb_deces,nb_tests_de_ce_jour,nb_premiere_injection_vaccin,nb_deuxieme_injection_vaccin
2020/03/17,0,0,0,0,0,0,0
2020/03/18,2,0,0,0,0,0,0
2020/03/19,2,0,0,0,18,0,0
2020/03/20,2,18,0,0,28,0,0
2020/03/21,4,18,0,0,40,0,0
2020/03/22,5,28,0,0,62,0,0
2020/03/23,8,28,0,0,71,0,0
2020/03/24,10,28,0,0,106,0,0
2020/03/25,14,24,0,0,111,0,0
2020/03/26,14,23,0,0,121,0,0
2020/03/27,15,23,0,0,187,0,0
2020/03/28,15,25,0,0,98,0,0
2020/03/29,15,25,0,0,76,0,0
2020/03/30,15,25,0,0,116,0,0
2020/03/31,16,23,0,0,84,0,0
2020/04/01,16,23,1,0,129,0,0
2020/04/02,18,5,1,0,148,0,0
2020/04/03,18,5,1,0,172,0,0
2020/04/04,18,5,1,0,143,0,0
2020/04/05,18,229,1,0,143,0,0
2020/04/06,18,184,1,0,152,0,0
2020/04/07,18,184,1,0,185,0,0
2020/04/08,18,188,1,0,157,0,0
2020/04/09,18,320,1,0,74,0,0
2020/04/10,18,318,1,0,71,0,0
2020/04/11,18,318,1,0,65,0,0
2020/04/12,18,356,1,0,12,0,0
2020/04/13,18,577,1,0,32,0,0
2020/04/14,18,594,14,0,43,0,0
2020/04/15,18,733,14,0,77,0,0
2020/04/16,18,857,14,0,92,0,0
2020/04/17,18,857,15,0,222,0,0
2020/04/18,18,835,15,0,83,0,0
2020/04/19,18,836,15,0,10,0,0
2020/04/20,18,852,15,0,42,0,0
2020/04/21,18,850,17,0,101,0,0
2020/04/22,18,957,17,0,220,0,0
2020/04/23,18,818,17,0,180,0,0
2020/04/24,18,817,17,0,180,0,0
2020/04/25,18,817,17,0,138,0,0
2020/04/26,18,817,17,0,135,0,0
2020/04/27,18,556,17,0,54,0,0
2020/04/28,18,542,17,0,156,0,0
2020/04/29,18,423,17,0,46,0,0
2020/04/30,18,423,17,0,46,0,0
2020/05/01,18,414,17,0,92,0,0
2020/05/02,18,414,17,0,79,0,0
2020/05/03,18,414,17,0,18,0,0
2020/05/04,18,114,17,0,8,0,0
2020/05/05,18,114,17,0,8,0,0
2020/05/06,18,130,17,0,148,0,0
2020/05/07,18,98,18,0,75,0,0
2020/05/08,18,277,18,0,5,0,0
2020/05/09,18,277,18,0,5,0,0
2020/05/10,18,277,18,0,19,0,0
2020/05/11,18,294,18,0,42,0,0
2020/05/12,18,295,18,0,31,0,0
2020/05/13,18,420,18,0,34,0,0
2020/05/14,18,420,18,0,45,0,0
2020/05/15,18,421,18,0,38,0,0
2020/05/16,18,421,18,0,0,0,0
2020/05/17,18,421,18,0,0,0,0
2020/05/18,18,541,18,0,50,0,0
2020/05/19,18,539,18,0,97,0,0
2020/05/20,18,581,18,0,138,0,0
2020/05/21,18,581,18,0,136,0,0
2020/05/22,18,581,18,0,53,0,0
2020/05/23,18,581,18,0,53,0,0
2020/05/24,18,581,18,0,8,0,0
2020/05/25,18,528,18,0,35,0,0
2020/05/26,18,528,18,0,35,0,0
2020/05/27,18,531,18,0,53,0,0
2020/05/28,18,531,18,0,22,0,0
2020/05/29,18,574,18,0,179,0,0
2020/05/30,18,574,18,0,5,0,0
2020/05/31,19,574,18,0,14,0,0
2020/06/01,19,574,18,0,14,0,0
2020/06/02,20,465,18,0,160,0,0
2020/06/03,20,487,18,0,26,0,0
2020/06/04,20,477,18,0,31,0,0
2020/06/05,20,477,18,0,157,0,0
2020/06/06,20,477,18,0,0,0,0
2020/06/07,20,477,19,0,10,0,0
2020/06/08,20,525,20,0,192,0,0
2020/06/09,21,501,20,0,150,0,0
2020/06/10,21,496,20,0,70,0,0
2020/06/11,21,492,20,0,77,0,0
2020/06/12,21,452,20,0,28,0,0
2020/06/13,21,452,20,0,0,0,0
2020/06/14,21,452,20,0,0,0,0
2020/06/15,21,546,21,0,47,0,0
2020/06/16,21,538,21,0,159,0,0
2020/06/17,21,493,21,0,48,0,0
2020/06/18,21,484,21,0,39,0,0
2020/06/19,21,482,21,0,166,0,0
2020/06/20,21,482,21,0,0,0,0
2020/06/21,21,482,21,0,8,0,0
2020/06/22,21,336,21,0,40,0,0
2020/06/23,21,324,21,0,142,0,0
2020/06/24,21,204,21,0,29,0,0
2020/06/25,21,203,21,0,20,0,0
2020/06/26,21,203,21,0,117,0,0
2020/06/27,21,203,21,0,0,0,0
2020/06/28,21,203,21,0,9,0,0
2020/06/29,21,318,21,0,17,0,0
2020/06/30,21,318,21,0,106,0,0
2020/07/01,21,258,21,0,32,0,0
2020/07/02,21,258,21,0,8,0,0
2020/07/03,21,258,21,0,41,0,0
2020/07/04,21,258,21,0,0,0,0
2020/07/05,21,258,21,0,0,0,0
2020/07/06,21,450,21,0,35,0,0
2020/07/07,21,453,21,0,18,0,0
2020/07/08,21,453,21,0,18,0,0
2020/07/09,21,453,21,0,111,0,0
2020/07/10,21,453,21,0,169,0,0
2020/07/11,21,453,21,0,79,0,0
2020/07/12,21,453,21,0,0,0,0
2020/07/13,21,453,21,0,94,0,0
2020/07/14,22,453,21,0,67,0,0
2020/07/15,22,277,21,0,139,0,0
2020/07/16,22,278,21,0,242,0,0
2020/07/17,22,279,21,0,175,0,0
2020/07/18,22,279,21,0,0,0,0
2020/07/19,22,279,21,0,0,0,0
2020/07/20,22,253,21,0,34,0,0
2020/07/21,22,253,22,0,11,0,0
2020/07/22,22,255,22,0,25,0,0
2020/07/23,22,255,22,0,34,0,0
2020/07/24,22,255,22,0,174,0,0
2020/07/25,22,255,22,0,0,0,0
2020/07/26,22,255,22,0,0,0,0
2020/07/27,22,251,22,0,35,0,0
2020/07/28,22,252,22,0,32,0,0
2020/07/29,22,252,22,0,22,0,0
2020/07/30,22,250,22,0,43,0,0
2020/07/31,22,250,22,0,197,0,0
2020/08/01,22,250,22,0,0,0,0
2020/08/02,22,250,22,0,1,0,0
2020/08/03,22,180,22,0,66,0,0
2020/08/04,22,180,22,0,280,0,0
2020/08/05,22,180,22,0,126,0,0
2020/08/06,22,181,22,0,178,0,0
2020/08/07,23,181,22,0,166,0,0
2020/08/08,23,181,22,0,0,0,0
2020/08/09,23,181,22,0,0,0,0
2020/08/10,23,277,22,0,18,0,0
2020/08/11,23,277,22,0,9,0,0
2020/08/12,23,277,22,0,22,0,0
2020/08/13,23,280,22,0,135,0,0
2020/08/14,23,280,22,0,98,0,0
2020/08/15,23,280,22,0,0,0,0
2020/08/16,23,280,22,0,4,0,0
2020/08/17,23,267,22,0,29,0,0
2020/08/18,23,267,22,0,20,0,0
2020/08/19,23,264,22,0,94,0,0
2020/08/20,23,264,22,0,142,0,0
2020/08/21,23,259,22,0,160,0,0
2020/08/22,23,259,22,0,0,0,0
2020/08/23,23,259,22,0,80,0,0
2020/08/24,23,263,23,0,159,0,0
2020/08/25,23,263,23,0,133,0,0
2020/08/26,23,263,23,0,103,0,0
2020/08/27,23,260,23,0,94,0,0
2020/08/28,23,252,23,0,51,0,0
2020/08/29,23,252,23,0,0,0,0
